L_O_S,avg-cost,International_mins
49.3,867.52530060946,1.6000478333333332
42.1,1157.1062198457435,8.690560666666666
9.833333,76.16274666666666,1.6543186666666665
19.966667,225.8328527781327,2.6773386666666665
20.3,175.9384855488417,3.083746
46.3,322.5967774607575,5.536405666666667
20.633333,98.71637999999999,2.2181595
25.566667,581.1835178019675,1.6504028333333334
36.9,82.62114666666666,1.8157786666666664
43.666667,976.2984116666667,5.1335235
26.766667,265.84403907671475,4.548787166666666
31.066667,438.3367469411304,5.310362666666666
25.966667,484.2862141039011,3.2165404999999994
51.466667,61.311020520973855,0.23551766666666668
24.366667,371.82642308991745,7.987929666666667
28.7,176.8819601086858,0.7195521666666667
34.733333,215.6496135975592,3.7795401666666666
48.866667,452.9368610643313,7.203365833333333
53.133333,65.21550666666666,1.3806376666666664
18.666667,154.14129333333332,3.603782333333333
52.033333,35104.82396248148,33.896263166666664
19.233333,7986.585542497425,34.97874
35.133333,38641.65603720701,30.006492166666664
43.3,22160.855131309625,34.48390783333333
52.366667,26074.525509869552,30.782852
49.4,28722.497316525285,34.64717383333333
51.833333,20098.064321498365,33.417722499999996
40.8,25411.290136759744,32.23761733333333
58.1,16207.286262126636,31.105752333333335
37.533333,27451.369786353,36.442109333333335
48.766667,20524.796641217905,32.627222333333336
15.866667,15511.64634895732,30.106588166666665
14.866667,47301.6386425062,34.426371833333334
17.4,20108.667008541237,33.126650166666664
26.5,9036.038304668165,35.9711815
29.5,37639.47215283596,39.5294495
46.333333,13298.296994803424,30.092554166666662
19.333333,21857.046203493825,30.195612833333335
38.1,25215.95170443536,30.19543833333333
13.433333,18963.182386852113,39.157792
20.666667,16240.421817881372,30.015241500000002
56.466667,42751.617029033514,31.139460000000003
47.933333,46680.03615768811,33.02627316666667
56.166667,16784.315815454604,33.17492166666666
26.8,29383.740147855286,32.298436333333335
48.066667,32071.698718484386,33.153409
55.333333,21235.929148896663,30.700786166666667
22.066667,38155.807942767366,30.393450333333337
21.333333,30847.385274243235,30.987783333333333
56.133333,11250.825721229621,32.79923866666667
55.7,24688.531249606353,30.688316666666665
35.333333,30454.878604703372,33.30297516666667
51.233333,1604.5437758241442,32.3403665
29.733333,31668.12323583443,31.193362666666665
41.366667,35747.88613280286,34.304879666666665
15.966667,17128.883790660773,31.799419666666665
16.633333,1526.6954525,37.8911555
27.3,39620.60676595723,31.101102833333332
10.766667,9277.080543458676,32.35317083333333
23.0,11468.774978314505,30.883115166666666
40.666667,33522.51401908949,33.32391416666667
49.366667,7601.3528982628195,30.6578075
19.4,25342.665873847924,30.673479666666665
19.0,5458.196944166667,31.8988105
29.633333,20786.42504824881,30.9257795
11.566667,21213.725919308567,32.106264499999995
57.0,21729.0207898399,37.56459483333333
41.1,24674.018592475826,34.08315466666667
44.5,19069.31537704751,35.864157
16.166667,11373.239377980757,35.910993500000004
20.8,27373.308243891308,30.9952315
10.233333,29333.263015029403,32.77922433333333
36.733333,22105.240491097367,40.10318683333334
20.233333,18667.470969185335,34.11823433333333
51.533333,20245.057690265712,31.472846333333333
32.066667,2372.1781178772844,36.933675666666666
32.133333,24215.959710544423,31.868767333333334
40.633333,17433.300972389465,35.11282466666667
57.466667,12280.864390077453,30.6882425
38.4,19782.75974733078,32.86301016666667
39.8,7848.463838881579,32.93948766666667
33.233333,35348.90959517131,38.334178666666666
52.0,12200.1441688558,35.53185733333334
38.133333,12560.332461472364,30.891152499999997
56.866667,16659.461190731352,31.914832999999998
33.766667,11606.451684994192,32.6380585
26.2,5064.563314791315,33.535747666666666
43.666667,13693.5730171088,34.949735
20.1,15475.639809069095,30.809554333333335
38.4,27277.994280807525,39.4295575
32.5,13459.925359378183,34.733326166666664
16.766667,18128.08902474355,31.461682333333336
39.966667,12363.978081442721,31.464477666666664
28.566667,24081.39399129788,34.544287833333335
54.866667,17655.278744080068,36.235414
36.0,5853.497077754021,37.790096
26.733333,26102.366046445117,31.997409333333334
12.166667,6251.58945310789,33.919549833333335
11.9,14590.38209729339,34.96554566666667
38.2,10139.71342835086,37.1386375
21.066667,13261.246778069097,34.853046166666665
40.733333,25470.967582278325,35.990843
23.1,19509.66959729583,31.826395500000004
52.433333,19693.325006112398,39.5545795
40.6,28959.942964574453,34.192564833333336
37.433333,32784.14194390389,33.2497595
35.333333,11067.373990676453,32.125263833333335
23.433333,10511.304512454706,32.1522525
36.3,4327.879167597634,34.867037499999995
37.033333,32818.0284090651,31.543105500000003
11.766667,15409.383639187701,35.89791533333333
23.166667,12807.498554614627,33.4747155
11.133333,30236.13445678747,30.187598333333334
31.133333,4274.930583518097,30.814163333333333
